review,sentiment
"""crew were welcoming""",Positive
"""furious and disappointed""",Negative
"""amazing service and support""",Positive
"""Waste of time and money""",Negative
"""thumbs up to boarding crew""",Positive
"""Services were good""",Positive
"""thank entire staff of Air Asia""",Positive
"""impressed with her fluency""",Positive
"""completely unacceptable behaviour""",Negative
"""hospitality and customer delight""",Positive
"""customer service was excellent""",Positive
"""exceptionally great service""",Positive
"""Overall not a bad experience""",Positive
"""most congested seating""",Positive
"""most congested seating configuration I found in India""",Positive
"""the staff was not cooperative""",Negative
"""Worst customer service""",Negative
"""had worst experience ever""",Negative
"""none of them had received calls""",Negative
"""Thanks to his generous behaviour""",Positive
"""staff was good""",Positive
"""It was a great experience""",Positive
"""Terrible experience with check in""",Negative
"""Awesome polite cabin crew""",Positive
"""such a lovely staff""",Positive
"""Boarding was delayed by 30 min""",Negative
"""Overall a good flight""",Positive
"""my experience was not pleasant""",Negative
"""thankful to them""",Positive
"""allow normal size sports equipment""",Positive
"""Will never choose it again""",Negative
"""we will not travel with you any more""",Negative
"""very serious concern about baggage""",Negative
"""for the first time and now I really regret my decision""",Negative
"""Very disappointed with AirAsia India""",Negative
"!""I am done with AirAsia India""",Negative
"""The crew were friendly and welcoming""",Positive
"""This has been a terrible experience""",Negative
"""a very nice and unexpected touch""",Positive
"""service offered were horrible""",Negative
"""the worst airline you can board""",Negative
"""charge you for every ounce of luggage""",Negative
"""the refund amount is low""",Negative
"""never recommend AirAsia India""",Negative
"""seat pitch is something that needs to be kept in mind""",Positive
"""wait in Pune airport for 7 hrs""",Negative
"""overall flight went well""",Positive
"""insisted on redistributing the luggage""",Negative
"""received my refund after 6 weeks""",Negative
"""Wonderful and attentive crew members""",Positive
"""share the pleasant experience I had""",Positive
"""Kudos to the entire team!""",Positive
"""I cancelled the ticket""",Negative
"""applied for cancellation""",Negative
"""staff didn’t let board""",Negative
"""refund in the form of credit points """,Negative
"""no telephone service outside India""",Negative
"""cabin bag bigger than permitted size""",Negative
"""cancellation charges will apply""",Negative
"""I was pleasantly surprised""",Positive
"""even changed the seat""",Negative
"""the flight was quite nice""",Positive
"""Need to learn a lot""",Positive
"""Made me pay more for luggage""",Negative
"""delayed for 2 hours initially""",Negative
"""charge for rescheduling""",Negative
"""rescheduled the flight""",Negative
"""want the refund of prebooked meal""",Negative
"""Rs 4000 for 2kgs extra hand luggage""",Negative
"""Extremely poor services""",Negative
"""Very frustrating experience""",Negative
"""crew were very proactive and good""",Positive
"""smooth take-off and landing""",Positive
"""wonderful customer support""",Positive
"""didn't offer refund""",Negative
"""very bad experience""",Negative
"""chaos at the airport""",Negative
"""not informing the customers""",Negative
"""a pretty unpleasant flight""",Negative
"""couldn’t find my baggage""",Negative
"""virtual assistant is of no use""",Negative
"""One of the best experiences """,Positive
"""pay more for a couple of extra kgs""",Negative
"""delayed for 4 hours""",Negative
"""Clean aircraft and helpful crew""",Negative
"""Gate changed 5 times""",Negative
AirAsia India customer review,Negative
"""were all so warm and helpful""",Positive
"""ground staff were well trained""",Positive
"""amazing, good and polite""",Positive
"""got rescheduled again""",Negative
"""service was very good""",Positive
"""not at all comfortable""",Negative
"""low quality of service""",Negative
"""I had to cancel my trip""",Negative
"""Never ever go with AirAsia""",Negative
"""like to applaud the staff""",Positive
"""Poor seating arrangement""",Negative
"""option in paid seats""",Negative
"""seats at different places""",Negative
"""really cheap tricks""",Negative
"""staff are inefficient""",Negative
"""main problem price of food and drink""",Positive
"""arrival was not on time""",Negative
"""Seat comfort was good""",Positive
"""seat was really comfortable""",Positive
"""got delayed for 2.5 hours""",Negative
"""prefer AirAsia for my next trip""",Positive
"""missed my International flight""",Negative
"""no more check in baggage allowed""",Negative
"""baggage got left behind""",Negative
"""happy with the travel""",Negative
"""was quite impressed""",Positive
"""never to travel via Air Asia again""",Negative
"""no option to pick a seat""",Negative
"""paying almost nothing for the tickets""",Negative
"""such a bad experience""",Negative
"""demanded seat charges""",Positive
"""not assisting on delays""",Negative
"""reasonable low-fare airline""",Positive
“For the price paid flight was pretty good”,Positive
"""the experience was extremely poor""",Negative
"""incompetence of this airline""",Negative
"""disappointed in Air India service""",Negative
"""made me buy a new ticket""",Negative
"""I had the worst experience""",Negative
"""14.5 hour flight no entertainment""",Negative
“We won’t forget it!”,Positive
"""worst of my flying experience""",Negative
“service is just getting worse and worse”,Negative
"""service they provide is beyond the worst""",Negative
"""I have asked for compensation""",Negative
"""18 hour delay""",Negative
"""Annoying, frustrating and sad experience """,Negative
"""ancient angled flat seat""",Negative
"""equipment is super old""",Negative
"""crew were quite nice and friendly""",Positive
"""seats wont recline and handles broken""",Negative
"""customer care is -1""",Negative
"""embarrassing and unacceptable""",Negative
"""Air India still has lot of work to do""",Positive
"""Worst airline available""",Negative
"""the worst experience""",Negative
"""it was a horrible experience""",Negative
"""bags were delayed by 2+ weeks""",Negative
"""No concern for consumers""",Negative
"""12hour flight without a working screen""",Negative
"""Get your act together""",Negative
"""Avoid flying Air India""",Negative
"""didn't bother refunding my money""",Negative
"""Air India do not care""",Negative
"""no proper information to the travellers""",Negative
"""give you the torture treatment""",Negative
""" I was really disappointed""",Negative
"""never fly Air India again""",Negative
"""beyond useless and unhelpful""",Negative
"""charged me for the weight of my duty-free""",Negative
“No value for money”,Negative
“Food was great as always”,Positive
"""Very unhappy with the service""",Negative
"""express my deep disappointment""",Negative
“staff was polite and helpful”,Positive
"""boarding experience was tiring""",Negative
"""Totally messed up airline""",Negative
"""16 hour flight without entertainment""",Negative
"""Horrible experience during check in""",Negative
"""will not recommend""",Negative
"""snack service was not up to par""",Positive
"""Every service needs deep review""",Negative
"""charging for carrying a laptop bag""",Negative
"""The worst company ever""",Negative
“Customer Service is the worst”,Negative
"""please avoid Air India""",Negative
"""pathetic service and attitude""",Negative
“poor management and bad decisions”,Negative
""" disaster from start to finish""",Negative
"""worst experience I’ve had""",Negative
"""3 toilets out of order""",Negative
“not the customer service we expect”,Negative
"""terrible customer service experience""",Negative
"""Worst Staff behaviour""",Negative
"""no in flight entertainment""",Negative
"""Overall a good flight""",Positive
Air India customer review,Positive
“nothing short of a nightmare”,Negative
"""ridiculous customer service""",Negative
"""No working entertainment""",Negative
"""a pretty routine flight""",Positive
"""The flight was quite nice""",Positive
"""seat back was in a catastrophic state""",Negative
"""One way my IFE was not working""",Positive
"""Will not fly on them again""",Negative
“Terrible experience”,Negative
"""the disgrace to the country""",Negative
"""not in any way attentive""",Negative
"""Overall had a good experience""",Positive
"""Entertainment was not working""",Negative
"""disheartening to see such discrepancies""",Negative
"""Worst trip in a business class ever""",Negative
"""Worst experience!""",Negative
"""change the gates any time""",Negative
"""unprofessional and uncooperative""",Negative
"""Air India lost my luggage""",Negative
"""Excellent leg room""",Positive
"""very unenjoyable flight""",Negative
"""No light button for reading too""",Positive
"""worst international flight experience""",Negative
“Nothing was working”,Negative
"""a nightmare that might haunt me""",Negative
“good decent service”,Positive
"""very bad experience""",Negative
“didn't offer any kind of compensation”,Negative
"""Very disappointed""",Negative
"""extremely dissatisfied with Air India""",Negative
"""I asked for compensation""",Negative
"""It’s a bad experience""",Negative
"""Very polite cabin crew""",Positive
"""horrible, dirty and old""",Negative
"""Our worst flying experience""",Negative
“a fabulous experience“,Negative
"""Excellent crew, polite and professional""",Positive
